country,total_applications,total_hired,hiring_rate
"Northern Mariana Islands",195,44,22.56
"Heard Island and McDonald Islands",205,41,20.00
Seychelles,211,40,18.96
"Sri Lanka",215,40,18.60
Kuwait,205,38,18.54
Sudan,180,33,18.33
Tuvalu,193,35,18.13
Timor-Leste,226,40,17.70
"Equatorial Guinea",218,38,17.43
Niger,231,40,17.32
Indonesia,185,32,17.30
"Saint Barthelemy",220,38,17.27
Jersey,204,35,17.16
Micronesia,204,35,17.16
Madagascar,199,34,17.09
Azerbaijan,194,33,17.01
Turkmenistan,214,36,16.82
"New Caledonia",198,33,16.67
Austria,187,31,16.58
"Brunei Darussalam",194,32,16.49
"Burkina Faso",182,30,16.48
"South Georgia and the South Sandwich Islands",213,35,16.43
"Cayman Islands",207,34,16.43
Argentina,221,36,16.29
Iceland,203,33,16.26
"Saint Helena",228,37,16.23
Senegal,179,29,16.20
Brazil,204,33,16.18
"Wallis and Futuna",211,34,16.11
Cyprus,193,31,16.06
Romania,212,34,16.04
"South Africa",214,34,15.89
Australia,208,33,15.87
"Trinidad and Tobago",202,32,15.84
Kazakhstan,196,31,15.82
"United Kingdom",222,35,15.77
Israel,204,32,15.69
"Sao Tome and Principe",174,27,15.52
"Turks and Caicos Islands",226,35,15.49
Macao,181,28,15.47
Netherlands,201,31,15.42
"Christmas Island",221,34,15.38
"United States Minor Outlying Islands",221,34,15.38
"Lao People's Democratic Republic",202,31,15.35
Moldova,189,29,15.34
Turkey,183,28,15.30
Togo,216,33,15.28
Anguilla,190,29,15.26
Liechtenstein,210,32,15.24
Guatemala,217,33,15.21
Burundi,211,32,15.17
Algeria,185,28,15.14
France,205,31,15.12
Peru,205,31,15.12
Japan,213,32,15.02
"Kyrgyz Republic",213,32,15.02
Croatia,194,29,14.95
Gibraltar,221,33,14.93
Georgia,208,31,14.90
"Solomon Islands",208,31,14.90
Vietnam,208,31,14.90
Poland,215,32,14.88
Ghana,195,29,14.87
Angola,229,34,14.85
"Puerto Rico",202,30,14.85
"Saudi Arabia",202,30,14.85
Kiribati,209,31,14.83
Thailand,209,31,14.83
Eritrea,196,29,14.80
"French Guiana",203,30,14.78
Bhutan,210,31,14.76
"Saint Martin",183,27,14.75
Qatar,190,28,14.74
"Isle of Man",170,25,14.71
Malaysia,232,34,14.66
Fiji,199,29,14.57
China,179,26,14.53
Morocco,215,31,14.42
"Western Sahara",195,28,14.36
Nauru,231,33,14.29
Lebanon,224,32,14.29
Liberia,217,31,14.29
"Sierra Leone",203,29,14.29
"Central African Republic",189,27,14.29
"French Polynesia",205,29,14.15
Palau,199,28,14.07
"Antarctica (the territory South of 60 deg S)",185,26,14.05
Luxembourg,228,32,14.04
Chile,214,30,14.02
"Cocos (Keeling) Islands",164,23,14.02
Belgium,193,27,13.99
Bolivia,215,30,13.95
"Saint Lucia",215,30,13.95
"French Southern Territories",208,29,13.94
Niue,224,31,13.84
Benin,181,25,13.81
Reunion,189,26,13.76
Finland,211,29,13.74
Norway,211,29,13.74
Mozambique,219,30,13.70
"Russian Federation",190,26,13.68
"Virgin Islands British",205,28,13.66
Belarus,213,29,13.62
Pakistan,213,29,13.62
Tokelau,213,29,13.62
Nepal,191,26,13.61
"Antigua and Barbuda",206,28,13.59
Dominica,229,31,13.54
"Saint Pierre and Miquelon",192,26,13.54
Swaziland,222,30,13.51
Oman,200,27,13.50
Nigeria,193,26,13.47
Kenya,208,28,13.46
Bahrain,186,25,13.44
Cuba,216,29,13.43
Germany,201,27,13.43
Paraguay,201,27,13.43
Mayotte,209,28,13.40
Rwanda,224,30,13.39
Philippines,187,25,13.37
"Libyan Arab Jamahiriya",172,23,13.37
Yemen,195,26,13.33
Uruguay,218,29,13.30
"United States of America",188,25,13.30
"Republic of Korea",211,28,13.27
Mauritania,219,29,13.24
"Dominican Republic",204,27,13.24
Egypt,204,27,13.24
India,189,25,13.23
Afghanistan,197,26,13.20
Vanuatu,205,27,13.17
Portugal,213,28,13.15
Bahamas,198,26,13.13
Guinea-Bissau,198,26,13.13
Montserrat,198,26,13.13
"El Salvador",183,24,13.11
"Syrian Arab Republic",183,24,13.11
Gabon,214,28,13.08
"Costa Rica",184,24,13.04
Tonga,184,24,13.04
Spain,238,31,13.03
Congo,208,27,12.98
"Bouvet Island (Bouvetoya)",224,29,12.95
Estonia,201,26,12.94
Samoa,232,30,12.93
Serbia,194,25,12.89
"Norfolk Island",202,26,12.87
Zimbabwe,210,27,12.86
Ireland,211,27,12.80
"Cape Verde",172,22,12.79
Martinique,227,29,12.78
Uganda,196,25,12.76
Tanzania,165,21,12.73
Monaco,197,25,12.69
Belize,198,25,12.63
Sweden,191,24,12.57
Taiwan,231,29,12.55
Italy,232,29,12.50
"Virgin Islands U.S.",224,28,12.50
Iran,216,27,12.50
"Netherlands Antilles",234,29,12.39
Djibouti,210,26,12.38
Uzbekistan,186,23,12.37
Mauritius,219,27,12.33
Botswana,203,25,12.32
Greece,187,23,12.30
"Slovakia (Slovak Republic)",179,22,12.29
"Democratic People's Republic of Korea",196,24,12.24
Myanmar,188,23,12.23
Ethiopia,221,27,12.22
Nicaragua,221,27,12.22
"Papua New Guinea",213,26,12.21
Greenland,222,27,12.16
"San Marino",214,26,12.15
Slovenia,181,22,12.15
"New Zealand",198,24,12.12
Panama,207,25,12.08
"Marshall Islands",199,24,12.06
Somalia,225,27,12.00
Albania,200,24,12.00
"Saint Kitts and Nevis",200,24,12.00
"Cook Islands",234,28,11.97
Comoros,209,25,11.96
"British Indian Ocean Territory (Chagos Archipelago)",218,26,11.93
Jordan,185,22,11.89
"Hong Kong",202,24,11.88
Latvia,211,25,11.85
Mali,211,25,11.85
Hungary,228,27,11.84
Aruba,203,24,11.82
Venezuela,229,27,11.79
Namibia,212,25,11.79
Macedonia,187,22,11.76
Barbados,197,23,11.68
Bermuda,206,24,11.65
Guyana,189,22,11.64
"Cote d'Ivoire",199,23,11.56
Switzerland,182,21,11.54
Guernsey,217,25,11.52
"Holy See (Vatican City State)",200,23,11.50
Andorra,192,22,11.46
Honduras,219,25,11.42
"United Arab Emirates",184,21,11.41
"Czech Republic",202,23,11.39
Denmark,212,24,11.32
Bangladesh,204,23,11.27
"Faroe Islands",205,23,11.22
Tunisia,197,22,11.17
"Svalbard & Jan Mayen Islands",234,26,11.11
Colombia,226,25,11.06
"American Samoa",182,20,10.99
"Pitcairn Islands",222,24,10.81
Bulgaria,204,22,10.78
Ukraine,214,23,10.75
"Falkland Islands (Malvinas)",224,24,10.71
Cameroon,196,21,10.71
Lithuania,217,23,10.60
Chad,218,23,10.55
"Palestinian Territory",218,23,10.55
Jamaica,190,20,10.53
Guinea,210,22,10.48
Grenada,192,20,10.42
Haiti,202,21,10.40
Iraq,202,21,10.40
Suriname,213,22,10.33
Armenia,175,18,10.29
Malta,195,20,10.26
Cambodia,226,23,10.18
Lesotho,191,19,9.95
Tajikistan,233,23,9.87
Ecuador,203,20,9.85
Guadeloupe,217,21,9.68
Mexico,219,21,9.59
Gambia,199,19,9.55
Malawi,242,23,9.50
Zambia,202,19,9.41
"Bosnia and Herzegovina",203,19,9.36
Mongolia,207,19,9.18
Singapore,225,20,8.89
Canada,207,18,8.70
Maldives,194,16,8.25
"Saint Vincent and the Grenadines",206,16,7.77
Guam,195,15,7.69
Montenegro,198,15,7.58
